name
Maruti Swift Dzire VDI
Skoda Rapid 1.5 TDI Ambition
Honda City 2017-2020 EXi
Hyundai i20 Sportz Diesel
Maruti Swift VXI BSIII
Hyundai Xcent 1.2 VTVT E Plus
Maruti Wagon R LXI DUO BSIII
Maruti 800 DX BSII
Toyota Etios VXD
Ford Figo Diesel Celebration Edition
Renault Duster 110PS Diesel RxL
Maruti Zen LX
Maruti Swift Dzire VDi
Maruti Swift 1.3 VXi
Maruti Wagon R LXI Minor
Mahindra KUV 100 mFALCON G80 K8 5str
Maruti Ertiga SHVS VDI
Hyundai i20 1.4 CRDi Asta
Maruti Alto LX
Hyundai i20 2015-2017 Asta 1.4 CRDi
Mahindra Verito 1.5 D4 BSIII
Honda WR-V i-DTEC VX
Maruti Swift Dzire ZDI
Maruti SX4 ZDI
Tata Tigor 2017-2020 XZ
Maruti Baleno Delta 1.2
Maruti Alto 800 LXI
Chevrolet Enjoy TCDi LTZ 7 Seater
Maruti Omni E MPI STD BS IV
Maruti Vitara Brezza LDi Option
Fiat Palio 1.2 ELX
Maruti Omni 8 Seater BSIV
Hyundai i20 1.2 Asta Dual Tone
Maruti Vitara Brezza LDi
Maruti Alto 800 CNG LXI Optional
Maruti Alto K10 VXI Airbag
Hyundai Verna VTVT 1.6 SX Option
Datsun GO D
Tata Safari DICOR 2.2 LX 4x2
Maruti 800 Std
Jeep Compass 1.4 Limited Plus BSIV
Honda City i VTEC VX
Honda City V MT
Maruti Swift Dzire VXi AT
Maruti Vitara Brezza VDi
Maruti Alto K10 VXI
Toyota Fortuner 4x4 MT
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV
Mercedes-Benz B Class B180
Honda Amaze S Diesel
Mitsubishi Pajero Sport 4X4
Honda City i DTEC S
Maruti Ciaz Zeta
Honda Jazz VX Diesel
Toyota Innova Crysta 2.8 ZX AT BSIV
Toyota Innova 2.5 G (Diesel) 7 Seater
Audi A6 2.0 TDI Technology
Toyota Corolla Altis 1.8 VL CVT
Audi A6 2.0 TDI  Design Edition
Mercedes-Benz New C-Class 220 CDI AT
Tata Manza ELAN Quadrajet BS IV
Hyundai i10 Magna
Hyundai i20 Asta 1.4 CRDi
Ford Figo 1.2P Titanium MT
Volkswagen Ameo 1.5 TDI Highline 16 Alloy
Honda City i DTEC VX
Maruti Wagon R AMT VXI
Volkswagen Ameo 1.5 TDI Comfortline
Maruti Vitara Brezza ZDi Plus AMT
Maruti Swift VDI Deca
Maruti Swift Star VDI
Maruti Ertiga ZXI
Tata Indica DLS
Volkswagen Vento Diesel Highline
Toyota Innova 2.5 VX (Diesel) 8 Seater
Ford EcoSport 1.5 TDCi Titanium Plus BSIV
BMW X1 sDrive20i xLine
Maruti Celerio ZXI MT BSIV
Datsun GO A Petrol
Maruti Alto 800 VXI BSIV
Maruti Alto 800 LXI BSIV
Maruti Swift VDI BSIV W ABS
Hyundai i10 Era 1.1
Maruti Wagon R LXI LPG BSIV
Volkswagen Polo 1.2 MPI Comfortline
Hyundai i10 Magna 1.1L
Volkswagen Vento Petrol Highline
Maruti Zen Estilo LXI BSIII
Hyundai i20 Asta Optional with Sunroof 1.2
Maruti Swift Dzire LDI
Hyundai Xcent 1.2 Kappa SX Option AT
Maruti Alto LX BSIII
Hyundai i20 1.4 Asta Option
Maruti Wagon R VXI
Tata Manza Aura (ABS) Quadrajet
Maruti Swift VXI
Maruti Eeco 7 Seater Standard BSIV
Maruti Baleno Zeta 1.2
Mahindra Scorpio VLX AT AIRBAG BSIV
Ford Freestyle Titanium Petrol BSIV
Hyundai Verna VTVT 1.6 SX
Volkswagen Passat 1.8 TSI MT
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV
Mahindra XUV500 W11 Option AWD
Tata Indigo CS LS (TDI) BS-III
Hyundai Verna 1.6 SX
Hyundai i20 Magna 1.4 CRDi (Diesel)
Toyota Corolla Altis G
Maruti Celerio VXI
Maruti Vitara Brezza ZDi Plus Dual Tone
Maruti Swift Dzire VXI
